assertion_id,passage_id,filename,assertion_type,asserted_by,asserted_on,certainty,stance,voice,note,ref_mode,discursive_function,target_agent_label,agent,target_instance_label,target_event_label,target_concept_label,is_translation,translator_label,target_location_type,target_location_label
2,1198200200.00030,1198200200.00030.txt,discursive_function,sosadetz,12/20/2025,2,critiquing,NA,highly literary passage describing embarcation onto slave ships,NA,fictionalized_narrative,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1198200200.00031,1198200200.00031.txt,historical_ref,sosadetz,12/20/2025,2,critiquing,NA,describes arrival of slave ship in port,NA,NA,NA,NA,NA,middle_passage,NA,NA,NA,NA,NA
4,1198200200.00003,1198200200.00003.txt,personal_ref,sosadetz,12/20/2025,3,endorsing,NA,NA,explicit mention,NA,James Ramsay,NA,NA,NA,NA,NA,NA,NA,NA
5,1198200200.00003,1198200200.00003.txt,personal_ref,sosadetz,12/20/2025,2,critiquing,NA,NA,allusion,NA,James Tobin,NA,NA,NA,NA,NA,NA,NA,NA
6,1198200200.00030,1198200200.00030.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,slavery,NA,NA,NA,NA
7,1198200200.00030,1198200200.00030.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,christian_hypocrisy,NA,NA,NA,NA
8,1198200200.00030,1198200200.00030.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,humanitarian_benevolence,NA,NA,NA,NA
9,1198200200.00030,1198200200.00030.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,atlantic_slave_trade,NA,NA,NA,NA,NA
10,1198200200.00030,1198200200.00030.txt,historical_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,middle_passage,NA,NA,NA,NA,NA
11,1198200200.00030,1198200200.00030.txt,voice,ai_annotation,12/21/2025,3,NA,narrator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,49900105.00043,0049900105.00043.txt,personal_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,Clarissa Harlowe,NA,NA,NA,NA,NA,NA,NA,NA
13,49900105.00043,0049900105.00043.txt,personal_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,Mr Lovelace,NA,NA,NA,NA,NA,NA,NA,NA
14,49900105.00043,0049900105.00043.txt,thematic_ref,ai_annotation,12/21/2025,3,endorsing,NA,NA,NA,NA,NA,NA,NA,NA,female virtue and reputation,NA,NA,NA,NA
15,49900105.00043,0049900105.00043.txt,thematic_ref,ai_annotation,12/21/2025,3,critiquing,NA,NA,NA,NA,NA,NA,NA,NA,sexual coercion,NA,NA,NA,NA
