location_id,label
place:17_30_s_latitude:247eb00248,17_30_s_latitude
place:22_s_latitude:eda5361f6f,22_s_latitude
place:30th_parallel_north:ea1a2ddd81,30th_parallel_north
place:31_40_s_latitude_south:46ba49c7f2,31_40_s_latitude_south
place:47_19_s_192_12_w:95d93f272f,47_19_s_192_12_w
place:6_15_s_latitude:74e59fae36,6_15_s_latitude
place:abaco:ab15cf689a,abaco
place:abaret_river:cdcbfa75ec,abaret_river
place:abbeville:274f8d7633,abbeville
place:aberdeen:8dd13ff446,aberdeen
place:abington_pennsylvania:48f0713d84,abington_pennsylvania
place:abomey:184c91d480,abomey
place:abrothos:a8c0315109,abrothos
place:abyssinia:0ac8112e52,abyssinia
place:acadia:88da46abfe,acadia
place:acapulco:7e6b3396db,acapulco
place:accompong:b69c76c628,accompong
place:accompong_town:caff59e66f,accompong_town
place:accra:4b8f7451a5,accra
place:aceh:091832e96f,aceh
place:acron:84756e80d9,acron
place:aden:42193e82f8,aden
place:adgoz:8aeefa1a04,adgoz
place:admiralty:76660e0829,admiralty
place:admiralty_bay:e1ff192f36,admiralty_bay
place:admiralty_islands:bb7101a3c8,admiralty_islands
place:admiralty_isles:da8c43ef16,admiralty_isles
place:adom:0b6e39a4b5,adom
place:adriatic_sea:14cc84799c,adriatic_sea
place:aegean_archipelago:647affda8c,aegean_archipelago
place:aegean_sea:3baf583c0f,aegean_sea
place:aethiopia:742c810878,aethiopia
place:affiantee:a6a62a0c54,affiantee
place:africa:294f887b7e,africa
place:african_coast:4eb673243c,african_coast
place:agadir:e7e703d4b2,agadir
place:agen:47822c0b97,agen
place:agra:ffa456162c,agra
