Label,structuralUnitID,structuralUnitName,component,documentID,passageStart,passageEnd,authorID
structural,s000001,Title Page,frontMatter,866300300,00001,00001,Unknown
structural,s000002,THE DESIGN.,frontMatter,866300300,00001,00008,A0021
structural,s000003,ARGUMENT.,frontMatter,866300300,00008,00008,Unknown
structural,s000004,ARGUMENT.,frontMatter,866300300,Unclear,Unclear,Unknown
structural,s000005,ARGUMENT.,frontMatter,866300300,Unclear,Unclear,Unknown
structural,s000006,BOOK I.,mainBody,866300300,00008,00013,A0001
structural,s000007,BOOK II.,mainBody,866300300,00013,00019,A0001
structural,s000008,BOOK III.,mainBody,866300300,00019,00024,A0001
structural,s000009,NOTES ON THE FIRST BOOK.,backMatter,866300300,00024,00026,A0001
structural,s000010,NOTES ON THE SECOND BOOK.,backMatter,866300300,00026,00027,A0001
structural,s000011,NOTES ON THE THIRD BOOK.,backMatter,866300300,00027,00030,A0001
structural,s000012,Title Page,frontMatter,509000201,00001,,Unknown
structural,s000013,"To the Right Honourable John Lord Sommers, Baron of Evesham.",frontMatter,509000201,,,
structural,s000014,"No 1. Thursday, March 1, 1710 - 11.",mainBody,509000201,,,
structural,s000015,"No 2. Friday, March 2.",mainBody,509000201,,,
structural,s000016,"No 3. Saturday, March 3.",mainBody,509000201,,,
structural,s000017,"No 4. Monday, March 5.",mainBody,509000201,,,
structural,s000018,"No 5. Tuesday, March 6.",mainBody,509000201,,,
structural,s000019,"No 6. Wednesday, March 7.",mainBody,509000201,,,
structural,s000020,"No 7. Thursday, March 8.",mainBody,509000201,,,
structural,s000021,"No 8. Friday, March 9.",mainBody,509000201,,,
structural,s000022,"No 9. Saturday, March 10.",mainBody,509000201,,,
structural,s000023,"No 10. Monday, March 12.",mainBody,509000201,,,
structural,s000024,"No 11. Tuesday, March 13.",mainBody,509000201,,,
structural,s000025,"No. 12. Wednesday, March 14.",mainBody,509000201,,,
structural,s000026,"No 13. Thursday, March 15.",mainBody,509000201,,,
structural,s000027,"No 14. Friday, March 16.",mainBody,509000201,,,
structural,s000028,"No 15. Saturday, March 17.",mainBody,509000201,,,
structural,s000029,"No 16. Monday, March 19.",mainBody,509000201,,,
structural,s000030,"No 17. Tuesday, March 20.",mainBody,509000201,,,
structural,s000031,"No. 18. Wednesday, March 21.",mainBody,509000201,,,
structural,s000032,"No 19. Thursday, March 22.",mainBody,509000201,,,
structural,s000033,"No 20. Friday, March 23.",mainBody,509000201,,,
structural,s000034,"No 21. Saturday, March 24.",mainBody,509000201,,,
structural,s000035,"No 22. Monday, March 26.",mainBody,509000201,,,
structural,s000036,"No 23. Tuesday, March 27.",mainBody,509000201,,,
structural,s000037,"No. 24. Wednesday, March 28.",mainBody,509000201,,,
structural,s000038,"No 25. Thursday, March 22.",mainBody,509000201,,,
structural,s000039,"No 26. Friday, March 30.",mainBody,509000201,,,
structural,s000040,"No 27. Saturday, March 31.",mainBody,509000201,,,
structural,s000041,"No 28. Monday, April 2.",mainBody,509000201,,,
structural,s000042,"No 29. Tuesday, April 3.",mainBody,509000201,,,
structural,s000043,"No 30. Wednesday, April 4.",mainBody,509000201,,,
structural,s000044,"No 31. Thursday, April 5.",mainBody,509000201,,,
structural,s000045,"No 32. Friday, April 6.",mainBody,509000201,,,
structural,s000046,"No 33. Saturday, April 7.",mainBody,509000201,,,
structural,s000047,"No 34. Monday, April 9.",mainBody,509000201,,,
structural,s000048,"No 35. Tuesday, April 10.",mainBody,509000201,,,
structural,s000049,"No 36. Wednesday, April 11.",mainBody,509000201,,,
structural,s000050,"No 37. Thursday, April 12.",mainBody,509000201,,,
structural,s000051,"No 38. Friday, April 13.",mainBody,509000201,,,
structural,s000052,"No 39. Saturday, April 14.",mainBody,509000201,,,
structural,s000053,"No 40. Monday, April 16.",mainBody,509000201,,,
structural,s000054,"No 41. Tuesday, April 17.",mainBody,509000201,,,
structural,s000055,"No 42. Wednesday, April 18.",mainBody,509000201,,,
structural,s000056,"No 43. Thursday, April 19.",mainBody,509000201,,,
structural,s000057,"No 44. Friday, April 20.",mainBody,509000201,,,
structural,s000058,"No 45. Saturday, April 21.",mainBody,509000201,,,
structural,s000059,"No 46. Monday, April 23.",mainBody,509000201,,,
structural,s000060,"No 47. Tuesday, April 24.",mainBody,509000201,,,
structural,s000061,"No 48. Wednesday, April 25.",mainBody,509000201,,,
structural,s000062,"No 49. Thursday, April 26.",mainBody,509000201,,,
structural,s000063,"No 50. Friday, April 27.",mainBody,509000201,,,
structural,s000064,"No 51. Saturday, April 28.",mainBody,509000201,,,
structural,s000065,"No 52. Monday, April 30.",mainBody,509000201,,,
structural,s000066,"No 53. Tuesday, May 1.",mainBody,509000201,,,
structural,s000067,"No 54. Wednesday, May 2.",mainBody,509000201,,,
structural,s000068,"No 55. Thursday, May 3.",mainBody,509000201,,,
structural,s000069,"No 56. Friday, May 4.",mainBody,509000201,,,
structural,s000070,"No 57. Saturday, May 5.",mainBody,509000201,,,
structural,s000071,"No 58. Monday, May 7.",mainBody,509000201,,,
structural,s000072,"No 59. Tuesday, May 8.",mainBody,509000201,,,
structural,s000073,"No 60. Wednesday, May 9.",mainBody,509000201,,,
structural,s000074,"No 61. Thursday, May 10.",mainBody,509000201,,,
structural,s000075,"No 62. Friday, May 11.",mainBody,509000201,,,
structural,s000076,"No 63. Saturday, May 12.",mainBody,509000201,,,
structural,s000077,"No 64. Monday, May 14.",mainBody,509000201,,,
structural,s000078,"No 65. Tuesday, May 15.",mainBody,509000201,,,
structural,s000079,"No 66. Wednesday, May 16.",mainBody,509000201,,,
structural,s000080,"No 67. Thursday, May 17.",mainBody,509000201,,,
structural,s000081,"No 68. Friday, May 18.",mainBody,509000201,,,
structural,s000082,"No 69. Saturday, May 19.",mainBody,509000201,,,
structural,s000083,"No 70. Monday, May 21.",mainBody,509000201,,,
structural,s000084,"No 71. Tuesday, May 22.",mainBody,509000201,,,
structural,s000085,"No 72. Wednesday, May 23.",mainBody,509000201,,,
structural,s000086,"No 73. Thursday, May 24.",mainBody,509000201,,,
structural,s000087,"No 74. Friday, May 25.",mainBody,509000201,,,
structural,s000088,"No 75. Saturday, May 26.",mainBody,509000201,,,
structural,s000089,"No 76. Monday, May 28.",mainBody,509000201,,,
structural,s000090,"No 77. Tuesday, May 29.",mainBody,509000201,,,
structural,s000091,"No 78. Wednesday, May 30.",mainBody,509000201,,,
structural,s000092,"No 79. Thursday, May 31.",mainBody,509000201,,,
structural,s000093,"No 80. Friday, June 1.",mainBody,509000201,,,
structural,s000094,POSTSCRIPT.,mainBody,509000201,,,
structural,s000095,Back Matter,backMatter,509000201,,,
structural,s000096,Title Page,frontMatter,295400903,,,
structural,s000097,Table of Contents,frontMatter,295400903,,,
structural,s000098,"NUMB. 106. SATURDAY, March 23, 1751.",mainBody,295400903,,,
structural,s000099,"NUMB. 107. TUESDAY, March 26, 1751.",mainBody,295400903,,,
structural,s000100,"NUMB. 108. SATURDAY, March 30, 1751.",mainBody,295400903,,,
structural,s000101,"NUMB. 109. TUESDAY, April 2, 1751.",mainBody,295400903,,,
structural,s000102,"NUMB. 110. SATURDAY, April 6, 1751.",mainBody,295400903,,,
structural,s000103,"NUMB. 111. TUESDAY, April 9, 1751.",mainBody,295400903,,,
structural,s000104,"NUMB. 112. SATURDAY, April 13, 1751.",mainBody,295400903,,,
structural,s000105,"NUMB. 113. TUESDAY, April 16, 1751.",mainBody,295400903,,,
structural,s000106,"NUMB. 114. SATURDAY, April 20, 1751.",mainBody,295400903,,,
structural,s000107,"NUMB. 115. TUESDAY, April 23, 175….",mainBody,295400903,,,
structural,s000108,"NUMB. 116. SATURDAY, April 27, 1751.",mainBody,295400903,,,
structural,s000109,"NUMB. 117. TUESDAY, April 30, 1751.",mainBody,295400903,,,
structural,s000110,"NUMB. 118. SATURDAY, May 4, 1751.",mainBody,295400903,,,
structural,s000111,"NUMB. 119. TUESDAY, May 7, 1751.",mainBody,295400903,,,
structural,s000112,"NUMB. 120. SATURDAY, May 11, 1751.",mainBody,295400903,,,
structural,s000113,"NUMB. 121. TUESDAY, May 14, 1751.",mainBody,295400903,,,
structural,s000114,"NUMB. 122. SATURDAY, May 18, 1751.",mainBody,295400903,,,
structural,s000115,"NUMB. 123. TUESDAY, May 21, 1751.",mainBody,295400903,,,
structural,s000116,"NUMB. 124. SATURDAY, May 25, 1751.",mainBody,295400903,,,
structural,s000117,"NUMB. 125. TUESDAY, May 28, 1751.",mainBody,295400903,,,
structural,s000118,"NUMB. 126. SATURDAY, June 1, 1751.",mainBody,295400903,,,
structural,s000119,"NUMB. 127. TUESDAY, June 4, 1751.",mainBody,295400903,,,
structural,s000120,"NUMB. 128. SATURDAY, June 8, 1751.",mainBody,295400903,,,
structural,s000121,"NUMB. 129. TUESDAY, June 11, 1751.",mainBody,295400903,,,
structural,s000122,"NUMB. 130. SATURDAY, June 15, 1751.",mainBody,295400903,,,
structural,s000123,"NUMB. 131. TUESDAY, June 18, 1751.",mainBody,295400903,,,
structural,s000124,"NUMB. 132. SATURDAY, June 22, 1751.",mainBody,295400903,,,
structural,s000125,"NUMB. 133. TUESDAY, June 25, 1751.",mainBody,295400903,,,
structural,s000126,"NUMB. 134. SATURDAY, June 29, 1751.",mainBody,295400903,,,
structural,s000127,"NUMB. 135. TUESDAY, July 2, 1751.",mainBody,295400903,,,
structural,s000128,"NUMB. 136. SATURDAY, July 6, 1751.",mainBody,295400903,,,
structural,s000129,"NUMB. 137. TUESDAY, July 9, 1751.",mainBody,295400903,,,
structural,s000130,"NUMB. 138. SATURDAY, July 13, 1751.",mainBody,295400903,,,
structural,s000131,"NUMB. 139. TUESDAY, July 16, 1751.",mainBody,295400903,,,
structural,s000132,"NUMB. 140. SATURDAY, July 20, 1751.",mainBody,295400903,,,
structural,s000133,"NUMB. 141. TUESDAY, July 23, 1751.",mainBody,295400903,,,
structural,s000134,"NUMB. 142. SATURDAY, July 27, 1751.",mainBody,295400903,,,
structural,s000135,"NUMB. 143. TUESDAY, July 30, 1751.",mainBody,295400903,,,
structural,s000136,"NUMB. 144. SATURDAY, August 3, 1751.",mainBody,295400903,,,
structural,s000137,"NUMB. 145. TUESDAY, August 6, 1751.",mainBody,295400903,,,
structural,s000138,"NUMB. 146. SATURDAY, August 10, 1751.",mainBody,295400903,,,
structural,s000139,"NUMB. 147. TUESDAY, August 13, 1751.",mainBody,295400903,,,
structural,s000140,"NUMB. 148. SATURDAY, August 17, 1751.",mainBody,295400903,,,
structural,s000141,"NUMB. 149. TUESDAY, August 20, 1751.",mainBody,295400903,,,
structural,s000142,"NUMB. 150. SATURDAY, August 24, 1751.",mainBody,295400903,,,
structural,s000143,"NUMB. 151. TUESDAY, August 27, 1751.",mainBody,295400903,,,
structural,s000144,"NUMB. 152. SATURDAY, August 31, 1751.",mainBody,295400903,,,
structural,s000145,"NUMB. 153. TUESDAY, September 3, 1751.",mainBody,295400903,,,
structural,s000146,"NUMB. 154. SATURDAY, Sept. 7, 1751.",mainBody,295400903,,,
structural,s000147,"NUMB. 155. TUESDAY, Sept. 10, 1752.",mainBody,295400903,,,
structural,s000148,"NUMB. 156. SATURDAY, Sept. 14, 1751.",mainBody,295400903,,,
structural,s000149,"NUMB. 157. TUESDAY, Sept. 17, 1751.",mainBody,295400903,,,
structural,s000150,"NUMB. 158. SATURDAY, Sept. 21, 1751.",mainBody,295400903,,,
structural,s000151,"NUMB. 159. TUESDAY, Sept. 24, 1751.",mainBody,295400903,,,
structural,s000152,Title Page,frontMatter,937100600,,,
structural,s000153,Table of Contents,frontMatter,937100600,,,
structural,s000154,ADVERTISEMENT.,frontMatter,937100600,,,
structural,s000155,ARGUMENT.,frontMatter,937100600,,,
structural,s000156,"THE RIME OF THE ANCYENT MARINERE, IN SEVEN PARTS.",mainBody,937100600,,,
structural,s000157,"THE FOSTER - MOTHER’S TALE, A DRAMATIC FRAGMENT.",mainBody,937100600,,,
structural,s000158,"LINES LEFT UPON A SEAT IN A YEW - TREE WHICH STANDS NEAR THE LAKE OF ESTHWAITE, ON A DESOLATE PART OF THE SHORE, YET COMMANDING A BEAUTIFUL PROSPECT.",mainBody,937100600,,,
structural,s000159,"THE NIGHTINGALE; A CONVERSATIONAL POEM, WRITTEN IN APRIL, 1798.",mainBody,937100600,,,
structural,s000160,THE FEMALE VAGRANT.,mainBody,937100600,,,
structural,s000161,"GOODY BLAKE, AND HARRY GILL, A TRUE STORY.",mainBody,937100600,,,
structural,s000162,"LINES WRITTEN AT A SMALL DISTANCE FROM MY HOUSE, AND SENT BY MY LITTLE BOY TO THE PERSON TO WHOM THEY ARE ADDRESSED.",mainBody,937100600,,,
structural,s000163,"SIMON LEE, THE OLD HUNTSMAN, WITH AN INCIDENT IN WHICH HE WAS CONCERNED.",mainBody,937100600,,,
structural,s000164,"ANECDOTE FOR FATHERS, SHEWING HOW THE ART OF LYING MAY BE TAUGHT.",mainBody,937100600,,,
structural,s000165,WE ARE SEVEN.,mainBody,937100600,,,
structural,s000166,LINES WRITTEN IN LARLY SPRING.,mainBody,937100600,,,
structural,s000167,THE THORN.,mainBody,937100600,,,
structural,s000168,THE LAST OF THE FLOCK.,mainBody,937100600,,,
structural,s000169,THE DUNGEON.,mainBody,937100600,,,
