Label,documentID,title,ecco_title,pub_year,ecco_date,volume_num,total_volumes,total_pages,source_library,ecco_module,ecco_notes,pub_place,imprint,author,ecco_author,sex_or_gender,popular_author,birth_year,death_year,coteries,citizenship,religion,occupation,field_of_work,position_held,movement,member_of,influenced_by,lifestyle,author_wikidata_id,author_languages,wikidata_url,wikidata_image_url,wikipedia_url,oxford_dnb_url
volume,866300300,"The pleasures of imagination. By Mark Akenside, M.D. To which is prefixed a critical essay on the poem, by Mrs. Barbauld.","        The pleasures of imagination. By Mark Akenside, M.D. To which is prefixed a critical essay on the poem, by Mrs. Barbauld.         The pleasures of imagination. By Mark Akenside, M.D. To which is prefixed a critical essay on the poem, by Mrs. Barbauld.      ",1794,17940101,1,1,201,British Library,Literature and Language,Plates dated: Nov. 1st. 1794.  With a half-title.,London,"London : printed for T. Cadell, junior, and W. Davies, in the Strand, by R. Noble, in the Old Bailey, [1794?].",Mark Akenside,"                  Akenside, Mark           1721           1770           1721-1770              ",male,TRUE,1721,1770,[],['Kingdom of Great Britain'],[],"['poet', 'physician', 'physician writer']",[],[],[],['Royal Society'],[],[],Q1247855,['English'],http://www.wikidata.org/entity/Q1247855,https://upload.wikimedia.org/wikipedia/commons/e/e0/Mark_Akenside.jpg,https://en.wikipedia.org/wiki/Mark_Akenside,https://doi.org/10.1093/ref:odnb/263
volume,509000201,The spectator. ...,        The spectator. ...         The spectator. ...      ,1712,17120101,1,8,481,British Library,Literature and Language,"By Addison, Steele and others.  Vols. 3,4,5,6 and 7 are dated 1713; vol.8 is dated 1715 and has Tonson's name only in the imprint.  The ornament on the titlepage to vol.1 consists of 3 flowers and foliage.",London,"London : printed for S. Buckley, at the Dolphin in Little-Britain; and J. Tonson at Shakespear's-Head, over-against Catherine-Street in the Strand, [1712-15] [1713].",,,unknown,TRUE,,,,[],[],[],[],[],[],[],[],[],,[],,,,
volume,295400903,The Rambler. In four volumes. ...,        The Rambler. In four volumes. ...         The Rambler. In four volumes. ...      ,1785,17850101,3,4,325,British Library,Literature and Language,Anonymous. By Samuel Johnson.,Dublin,"Dublin : printed by D. Graisberry, for Luke White, 1785.",Samuel Johnson,"                  Johnson, Samuel           1709           1784           1709-1784              ",male,TRUE,1709,1784,"['LC', ' BSS']",['Kingdom of Great Britain'],['Anglicanism'],"['lexicographer', 'linguist', 'poet', 'literary historian', 'writer', 'teacher', 'literary critic', 'biographer', 'essayist', 'politician']",['essay'],[],[],[],[],[],Q183266,['English'],http://www.wikidata.org/entity/Q183266,https://upload.wikimedia.org/wikipedia/commons/2/20/Samuel_Johnson_by_Joshua_Reynolds.jpg,https://en.wikipedia.org/wiki/Samuel_Johnson,https://doi.org/10.1093/ref:odnb/14918
volume,937100600,"Lyrical ballads, with a few other poems.","        Lyrical ballads, with a few other poems.         Lyrical ballads, with a few other poems.      ",1798,17980101,1,1,217,British Library,Literature and Language,"Anonymous. By William Wordsworth and Samuel Taylor Coleridge.  A reissue of the Bristol edition of the same year, with a cancel titlepage.  Leaves D8 and E1-2 are cancelled by four leaves, replacing 'Lewti; or the Circassian love chant' by 'The nightingale'; the cancel contents leaf is amended accordingly.  With a final errata leaf and a final advertisement leaf.",London,"London : printed for J. & A. Arch, Gracechurch-Street, 1798.",Samuel Taylor Coleridge,"                  Coleridge, Samuel Taylor           1772-1834              ",male,TRUE,1772,1834,['R'],"['Kingdom of Great Britain', 'United Kingdom of Great Britain and Ireland']","['Anglicanism', 'Protestantism', 'Christianity']","['poet', 'philosopher', 'theologian', 'writer', 'literary critic']",['philosophy'],[],[],"['Lake Poets', 'Royal Society of Literature']",[],[],Q82409,['English'],http://www.wikidata.org/entity/Q82409,https://upload.wikimedia.org/wikipedia/commons/1/17/Samuel_Taylor_Coleridge_at_age_42.jpg,https://en.wikipedia.org/wiki/Samuel_Taylor_Coleridge,https://doi.org/10.1093/ref:odnb/5888
volume,540000201,"The theory of moral sentiments; or, an essay towards an analysis of the principles by which men naturally judge concerning the conduct and character, first of their neighbours, and afterwards of themselves. To which is Added, A Dissertation on the Origin of Languages. By Adam Smith, LL. D. Fellow of the Royal Societies of London and Edinburgh; One of the Commissioners of his Majesty's Customs in Scotland; and formerly Professor of Moral Philosophy in the University of Glasgow. ...","        The theory of moral sentiments; or, an essay towards an analysis of the principles by which men naturally judge concerning the conduct and character, first of their neighbours, and afterwards of themselves. To which is Added, A Dissertation on the Origin of Languages. By Adam Smith, LL. D. Fellow of the Royal Societies of London and Edinburgh; One of the Commissioners of his Majesty's Customs in Scotland; and formerly Professor of Moral Philosophy in the University of Glasgow. ...         The theory of moral sentiments; or, an essay towards an analysis of the principles by which men naturally judge concerning the conduct and ...      ",1790,17900101,1,2,499,British Library,Religion and Philosophy,,London,"London : printed for A. Strahan; and A. Cadell in the Strand; and W. Creech, and J. Bell & Co. at Edinburgh, MDCCXC. [1790].",Adam Smith,"                  Smith, Adam           1723           1790           1723-1790              ",male,TRUE,1723,1790,"['LC', ' Ph', ' BSS']",['Kingdom of Great Britain'],['deism'],"['economist', 'non-fiction writer', 'philosopher', 'writer']","['economics', 'ethics', 'political philosophy', 'philosophy']",[],[],['Royal Society'],['Fran√ßois Quesnay'],[],Q9381,['English'],http://www.wikidata.org/entity/Q9381,https://upload.wikimedia.org/wikipedia/commons/0/0a/AdamSmith.jpg,https://en.wikipedia.org/wiki/Adam_Smith,https://doi.org/10.1093/ref:odnb/25767
volume,208300801,A treatise of human nature: being an attempt to introduce the experimental method of reasoning into moral subjects. ... . of the understanding.,        A treatise of human nature: being an attempt to introduce the experimental method of reasoning into moral subjects. ... . of the understanding.         A treatise of human nature: being an attempt to introduce the experimental method of reasoning into moral subjects. ... . of the understanding.      ,1739,17390101,1,3,488,British Library,Religion and Philosophy,"Anonymous. By David Hume.  The imprint of vol.3, dated 1740, reads: 'printed for Thomas Longman'.",London,"London : printed for John Noon, at the White-Hart, near Mercer's-Chapel, in Cheapside, MDCCXXXIX. [1739]-40.",David Hume,"                  Hume, David           1711           1776           1711-1776              ",male,TRUE,1711,1776,['Ph'],['Kingdom of Great Britain'],['agnosticism'],"['philosopher', 'economist', 'librarian', 'historian', 'essayist', 'writer']",['philosophy'],[],['empiricism'],[],"['George Berkeley', 'John Locke']",[],Q37160,['English'],http://www.wikidata.org/entity/Q37160,"https://upload.wikimedia.org/wikipedia/commons/1/1c/Allan_Ramsay_-_David_Hume,_1711_-_1776._Historian_and_philosopher_-_Google_Art_Project.jpg",https://en.wikipedia.org/wiki/David_Hume,https://doi.org/10.1093/ref:odnb/14141
volume,32100800,Outlines of an historical view of the progress of the human mind: being a posthumous work of the late M. de Condorcet. Translated from the French.,        Outlines of an historical view of the progress of the human mind: being a posthumous work of the late M. de Condorcet. Translated from the French.         Outlines of an historical view of the progress of the human mind: being a posthumous work of the late M. de Condorcet. Translated from the French.         Esquisse d'un tableau historique des progr√®s de l'esprit humain. English      ,1795,17950101,1,1,380,British Library,Religion and Philosophy,With a half-title.,London,"London : printed for J. Johnson, in St. Paul's Church-Yard, 1795.",Jean-Antoine-Nicolas de Caritat de Condorcet,"                  Condorcet, Jean-Antoine-Nicolas de Caritat, Marquis de           1743           1794           1743-1794              ",male,FALSE,1743,1794,['Ph'],['France'],['Atheism'],"['philosopher', 'mathematician', 'economist', 'politician', 'political scientist', 'sociologist', 'writer', 'biographer']",['mathematics'],"['member of the French National Assembly', 'Perpetual Secretary']",[],"['AcadÈmie franÁaise', 'Royal Swedish Academy of Sciences', 'French Academy of Sciences', 'Saint Petersburg Academy of Sciences', 'American Academy of Arts and Sciences', 'Russian Academy of Sciences', 'Royal Prussian Academy of Sciences', 'Accademia Nazionale delle Scienze detta dei XL', 'University of C√°diz', 'Academy of Sciences of Turin']",[],[],Q201477,['French'],http://www.wikidata.org/entity/Q201477,https://upload.wikimedia.org/wikipedia/commons/5/5b/Nicolas_de_Condorcet.PNG,https://en.wikipedia.org/wiki/Marquis_de_Condorcet,
volume,356100101,The iliad of Homer. Translated by Mr. Pope.,        The iliad of Homer. Translated by Mr. Pope.         The iliad of Homer. Translated by Mr. Pope.         Iliad. English      ,1715,17150101,1,6,384,British Library,Literature and Language,"Vol.2 is dated 1716; vol.3, 1717; vol.4, 1718; vols.5 and 6, 1720.  Large paper issue; the privilege leaf in vol. 1 contains 31 lines.  The notes were written in part by William Broome.  Includes 'An essay on the life, writings and learning of Homer' by T. Parnell.",London,"London : printed by W. Bowyer, for Bernard Lintott between the Temple-Gates, 1715-20.",Alexander Pope,"                  Pope, Alexander           1688-1744              ",male,TRUE,1688,1744,['SC'],"['Kingdom of England', 'Kingdom of Great Britain']",['Catholic Church'],"['poet', 'literary historian', 'translator', 'writer']",['poetry'],[],['Augustan poetry'],[],[],[],Q164047,['English'],http://www.wikidata.org/entity/Q164047,https://upload.wikimedia.org/wikipedia/commons/5/5d/Alexander_Pope_by_Michael_Dahl.jpg,https://en.wikipedia.org/wiki/Alexander_Pope,https://doi.org/10.1093/ref:odnb/22526
volume,646400100,"Candid: or, all for the best. Translated from the French of M. de Voltaire.","        Candid: or, all for the best. Translated from the French of M. de Voltaire.         Candid: or, all for the best. Translated from the French of M. de Voltaire.         Candide. English      ",1759,17590101,1,1,138,British Library,Literature and Language,"With a half-title.  A second part, not by Voltaire, is entered under C. C. F. Thorel de Campigneulles.",London,"London : printed for J. Nourse at the Lamb opposite Katherine-Street in the Strand, MDCCLIX. [1759].",Voltaire,                  Voltaire           1694           1778           1694-1778              ,male,TRUE,1694,1778,['Ph'],['France'],['atheist'],"['philosopher', 'poet', 'historian', 'essayist', 'playwright', 'autobiographer', 'diarist', 'lawyer', 'science fiction writer', 'correspondent', 'author']",['philosophy'],['historiographer of France'],[],"['Royal Society', 'AcadÈmie franÁaise', 'Royal Prussian Academy of Sciences', 'Russian Academy of Sciences', 'Royal Swedish Academy of Letters, History and Antiquities']","['Blaise Pascal', 'Cicero', 'Lucian', 'Pierre Bayle', 'Ibn Tufail', 'Nicolas Malebranche', 'Henry St John, 1st Viscount Bolingbroke', 'Zoroaster', 'Confucius', 'Miguel de Cervantes', 'William Shakespeare', 'Jean Racine', 'Plato', 'John Locke', 'Isaac Newton']",['vegetarianism'],Q9068,['French'],http://www.wikidata.org/entity/Q9068,"https://upload.wikimedia.org/wikipedia/commons/f/f2/Atelier_de_Nicolas_de_Largilli√®re,_portrait_de_Voltaire,_d√©tail_(mus√©e_Carnavalet)_-002.jpg",https://en.wikipedia.org/wiki/Voltaire,https://doi.org/10.1093/ref:odnb/68321
volume,66000300,"Letters for literary ladies. To which is added, an essay on the noble science of self-justification.","        Letters for literary ladies. To which is added, an essay on the noble science of self-justification.         Letters for literary ladies. To which is added, an essay on the noble science of self-justification.      ",1799,17990101,1,1,243,British Library,Religion and Philosophy,Anonymous. By Maria Edgeworth.,London,"London : printed for J. Johnson, in St. Paul's Church-Yard, M.DCC.XCIX. [1799].",Maria Edgeworth,"                  Edgeworth, Maria           1767           1849           1767-1849              ",female,TRUE,1767,1849,"['R', ' N']",['Ireland'],[],"['writer', 'essayist', 'novelist', ""children's writer""]",['essay'],[],[],[],[],[],Q237575,['English'],http://www.wikidata.org/entity/Q237575,https://upload.wikimedia.org/wikipedia/commons/9/97/Maria_Edgeworth_by_John_Downman_1807.jpg,https://en.wikipedia.org/wiki/Maria_Edgeworth,https://doi.org/10.1093/ref:odnb/8476
